X1_1,resid,hhid,mail,vote2006,vote2008,vote2010,vote2011,vote2012,vote2014,d_age,age_miss,d_gend_female,d_gend_unknown,d_race_blk,d_race_hsp,d_race_oth,d_days,days_miss,sdef,never_voted,open,vote_year
15140,15140,3710,1,0,0,0,0,0,1,52,0,1,0,1,0,0,813,0,0,1,1,2014
15150,15150,16056,1,0,0,0,0,0,1,40.967773,1,1,0,1,0,0,764,0,0,1,1,2014
15382,15382,15059,1,0,1,1,1,1,1,44,0,1,0,1,0,0,1061,0,0,0,1,2014
15594,15594,17613,1,0,1,1,0,0,1,50,0,1,0,1,0,0,764,0,0,0,1,2014
15624,15624,5273,1,0,0,0,0,0,1,40.967773,1,0,1,1,0,0,183,0,0,1,1,2014
15855,15855,16941,1,1,1,1,1,1,1,46,0,0,0,0,0,0,1471,0,0,0,1,2014
15925,15925,9764,1,0,1,1,1,1,1,56,0,0,0,1,0,0,2014,0,0,0,1,2014
15972,15972,16954,1,1,1,1,1,1,1,78,0,0,0,0,0,0,1212,0,0,0,1,2014
16031,16031,8955,1,0,0,0,0,0,1,20,0,0,0,1,0,0,125,0,0,1,0,2014
16068,16068,15517,1,0,0,0,0,0,1,40.967773,1,1,0,1,0,0,1644,0,1,1,1,2014
16076,16076,4482,1,0,1,1,1,1,1,57,0,1,0,1,0,0,1085,0,0,0,0,2014
16178,16178,13255,1,0,0,0,0,0,1,23,0,0,1,1,0,0,1494,0,1,1,1,2014
16478,16478,11841,1,0,1,0,0,0,1,64,0,1,0,1,0,0,756,0,0,0,0,2014
16560,16560,17146,1,0,0,0,0,0,1,40.967773,1,1,0,1,0,0,1593,0,1,1,0,2014
16733,16733,3144,1,1,1,1,1,1,1,57,0,0,0,1,0,0,2163,0,0,0,1,2014
16908,16908,4856,1,1,1,1,1,1,1,63,0,0,0,1,0,0,1285,0,0,0,1,2014
16941,16941,15148,1,0,0,0,0,0,1,40.967773,1,0,1,1,0,0,777,0,1,1,1,2014
17155,17155,8224,1,0,0,0,0,0,1,40.967773,1,0,1,0,0,0,1163,0,1,1,1,2014
17331,17331,1490,1,0,0,0,0,0,1,57,0,0,0,0,0,0,83,0,0,1,1,2014
17430,17430,14884,1,0,0,0,0,0,1,22,0,0,0,1,0,0,1286,0,1,1,1,2014
17448,17448,9879,1,0,0,0,0,0,1,40.967773,1,1,0,1,0,0,1238,0,1,1,1,2014
17537,17537,10393,1,0,0,0,0,0,1,54,0,1,0,0,0,0,2043,0,1,1,1,2014
17559,17559,14060,1,0,0,0,0,1,1,44,0,1,0,1,0,0,1488,0,0,0,0,2014
17763,17763,14323,1,0,1,1,1,1,1,40.967773,1,1,0,1,0,0,766,0,0,0,1,2014
18187,18187,5001,1,0,0,0,0,0,1,40.967773,1,1,0,1,0,0,759,0,0,1,0,2014
18248,18248,7830,1,0,0,0,0,0,1,22,0,1,0,1,0,0,668,0,0,1,0,2014
18267,18267,18652,1,0,0,0,0,0,1,44,0,0,0,1,0,0,669,0,0,1,1,2014
18307,18307,4522,1,0,0,0,0,0,1,70,0,0,0,1,0,0,742,0,0,1,1,2014
18319,18319,12322,1,0,0,0,0,0,1,40.967773,1,1,0,1,0,0,389,0,0,1,1,2014
18428,18428,5506,1,0,0,0,0,0,1,40.967773,1,0,0,1,0,0,433,0,0,1,1,2014
18445,18445,13490,1,1,1,1,1,1,1,52,0,0,0,1,0,0,1883,0,0,0,1,2014
18605,18605,14842,1,0,1,0,0,1,1,67,0,0,0,1,0,0,2226,0,0,0,1,2014
18642,18642,12865,1,1,1,1,1,1,1,61,0,0,0,0,0,0,85,0,0,0,0,2014
18666,18666,13815,1,1,1,1,1,1,1,36,0,1,0,1,0,0,1083,0,0,0,0,2014
18705,18705,9206,1,0,0,1,1,0,1,24,0,1,0,0,0,0,0,0,0,0,1,2014
18766,18766,14253,1,0,1,1,1,1,1,55,0,0,0,1,0,0,1278,0,0,0,1,2014
2,2,18897,1,0,0,0,0,0,0,50,0,1,0,1,0,0,1309,0,1,1,1,0
8,8,18675,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,1988,0,1,1,0,0
19,19,10094,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1397,0,1,1,0,0
20,20,7866,1,0,0,0,0,0,0,40.967773,1,0,0,0,0,0,2189,0,1,1,0,0
22,22,11608,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,2484,0,0,1,1,0
25,25,15187,1,0,0,0,0,0,0,25,0,1,0,1,0,0,1282,0,1,1,1,0
28,28,9815,1,0,0,0,0,0,0,52,0,0,0,0,0,0,2010,0,1,1,1,0
32,32,9300,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,2460,0,0,1,0,0
33,33,15871,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1639,0,1,1,0,0
35,35,16060,1,0,0,0,0,0,0,23,0,0,1,1,0,0,1230,0,1,1,0,0
38,38,903,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,2049,0,0,1,0,0
43,43,14226,1,0,0,0,0,0,0,42,0,1,0,1,0,0,1225,0,1,1,1,0
