Name                                                      ,Institution                                                                ,Project Type   ,Cost
Central Thailand Power Project                            ,Yanhee EGCO Holding                                                        ,ProjectClimate ,235M
Rantau Dedap Geothermal Project - Phase II                ,Supreme Energy Rantau Dedap (SERD)                                         ,ProjectClimate ,710M
Muara Laboh Geothermal Project                            ,Japan Bank for International Cooperation (JBIC)                            ,ProjectClimate ,588M
Technaf Solartech Energy                                  ,GuarantCo                                                                  ,ProjectClimate ,25M
Sarulla Geothermal Power Project (Sarulla GPP)            ,Sarulla Operations Limited (SOL)                                           ,ProjectClimate ,2B
Bridge Power                                              ,Endeavor Energy Corp                                                       ,ProjectClimate ,953M
La Ventosa Wind Farm                                      ,International Finance Corporation (IFC)                                    ,ProjectClimate ,189M
Accugas IV - GuarantCo Project                            ,GuarantCo                                                                  ,Company        ,90M
Loans4SME                                                 ,Loans4SME                                                                  ,CompanyClimate ,60K
Orb Energy                                                ,Orb Energy                                                                 ,CompanyClimate ,26M
Solar Rooftops for Housing                                ,National Bank For Agriculture And Rural Development (NABARD)               ,ProjectClimate ,250M
Dasu Hydropower Project (DHP)                             ,World Bank (WB)                                                            ,ProjectClimate ,4B
Sistema Biobolsa                                          ,Sistema Biobolsa                                                           ,CompanyClimate ,20M
Zola Solar Kits Project (ZECI Project)                    ,African Development Bank (AfDB)                                            ,ProjectClimate ,28M
Kingo Energy                                              ,Kingo Energy                                                               ,CompanyClimate ,37M
Nam Theun 2 Hydropower Project (NT2)                      ,Nam Theun 2 Power Company                                                  ,ProjectClimate ,1B
Lake Turkana Wind Farm Project                            ,Aldwych International                                                      ,ProjectClimate ,870M
Block CI 27 Expansion                                     ,World Bank (WB)                                                            ,Project        ,960M
Cambambe Hydroelectric Power Plant II (AHC)               ,Government of Angola                                                       ,ProjectClimate ,2B
Triumph HFO Power Plant                                   ,Triumph Power Generation                                                   ,Project        ,140M
Central Termica de Ressano Garcia (CTRG)                  ,Electricidade do Mocambique (EDM)                                          ,ProjectClimate ,273M
Rajamandala Hydropower Project                            ,Kansai Electric Power Company (Kanden)                                     ,ProjectClimate ,150M
Kribi Power Project                                       ,Government of Cameroon                                                     ,Project        ,350M
Sankofa Gas Project (SGP)                                 ,Vitol Inc                                                                  ,Project        ,8B
Thika Thermal Power Project                               ,World Bank (WB)                                                            ,ProjectClimate ,151M
Amandi Energy Power Plant                                 ,Amandi Group                                                               ,Project        ,552M
Trans Anatolia Natural Gas Pipeline (TANAP)               ,World Bank (WB)                                                            ,Project        ,9B
Hoi Xuan Hydropower Project                               ,VNECO Hoi Xuan Investment and Electricity Construction Joint Stock Company ,ProjectClimate ,200M
Sirajganj IPP                                             ,International Finance Corporation (IFC)                                    ,Project        ,412M
Bujagali Hydropower Project                               ,Sithe Global Power                                                         ,ProjectClimate ,905M
PRICO Solar Gaza                                          ,Palestine Real Estate Investment Company (PRICO)                           ,ProjectClimate ,12M
Olkaria III Geothermal Power Station (OrPower 4)          ,"Ormat Technologies, Inc."                                                 ,ProjectClimate ,635M
Egypt Renewable Energy Financing Framework                ,European Bank for Reconstruction and Development (EBRD)                    ,ProjectClimate ,1B
Bumbuna II Hydropower Plant                               ,Blue International                                                         ,ProjectClimate ,750M
Scaling Solar Zambia (SS Zambia)                          ,Industrial Development Corporation of Zambia (IDC Zambia)                  ,ProjectClimate ,48M
Ruzizi III Hydropower Plant (Ruzizi III)                  ,Energy Commission of the Great Lakes Countries                             ,ProjectClimate ,650M
Pozo Almonte and Calama Solar PV Project                  ,Solarpack                                                                  ,ProjectClimate ,90M
La Jacinta Solar Power Project                            ,Fotowatio Renewable Ventures (FRV)                                         ,ProjectClimate ,100M
Djermaya Solar Project                                    ,Aldwych International                                                      ,ProjectClimate ,70M
Kpone Independent Power Plant (Kpone IPP)                 ,Cenpower Holdings Ltd (CGC)                                                ,Project        ,904M
Gigawatt Global Rwanda                                    ,Gigawatt Global                                                            ,ProjectClimate ,24M
Takoradi 2 Expansion Project (T2)                         ,TAQA Arabia                                                                ,ProjectClimate ,440M
Azura-Edo Power Plant                                     ,Amaya Capital Limited                                                      ,Project        ,868M
KivuWatt Ltd                                              ,Contour Global LLC                                                         ,ProjectClimate ,196M
Segou Solaire Project                                     ,Scatec Solar ASA                                                           ,ProjectClimate ,55M
Simpa Networks                                            ,Simpa Networks                                                             ,CompanyClimate ,28M
Nachtigal Hydro Power Company Project                     ,International Finance Corporation (IFC)                                    ,ProjectClimate ,1B
Ituango Hydro Power Project (Ituango HPP)                 ,Empresas P\'fablicas de Medell\'edn (EPM)                                  ,ProjectClimate ,5B
Tina River Hydropower Development Project (TRHDP)         ,World Bank (WB)                                                            ,ProjectClimate ,234M
Byco Oil Pakistan Ltd - GuarantCo Project (BOPL)          ,GuarantCo                                                                  ,Project        ,43M
Essel Clean Solu Hydropower Ltd (ECS)                     ,Essel Clean Solu Hydropower Ltd                                            ,ProjectClimate ,191M
Quantum Terminals Limited - GuarantCo Project (QTL)       ,GuarantCo                                                                  ,ProjectClimate ,11M
Scatec Solar-Mozambique                                   ,Norfund                                                                    ,ProjectClimate ,80M
Thai Biogas Energy Company - GuarantCo Project (TBEC)     ,GuarantCo                                                                  ,CompanyClimate ,14M
Zenith Bank PLC - GuarantCo Project                       ,GuarantCo                                                                  ,Project        ,90M
Envirofit International                                   ,Envirofit International                                                    ,CompanyClimate ,49M
Mexico Wind Farms: Eurus                                  ,ACCIONA Energeda Mexico                                                    ,ProjectClimate ,560M
Albatros Energy Mali                                      ,African Infrastructure Investment Managers (AIIM)                          ,ProjectClimate ,140M
Bank of America Catalytic Finance Initiative              ,Bank of America Merrill Lynch (BAML)                                       ,ProjectClimate ,8B
BBOXX                                                     ,BBOXX                                                                      ,CompanyClimate ,115M
BMR Jamaica Wind Limited                                  ,BMR Energy                                                                 ,ProjectClimate ,90M
Devergy                                                   ,Devergy                                                                    ,CompanyClimate ,3M
M-Kopa Solar                                              ,M-Kopa                                                                     ,CompanyClimate ,162M
Mobisol                                                   ,Mobisol                                                                    ,CompanyClimate ,37M
ZOLA Electric (Off Grid Electric)                         ,Off Grid Electric                                                          ,CompanyClimate ,207M
PEG                                                       ,PEG Africa                                                                 ,CompanyClimate ,8M
responsAbility Renewable Energy Holding (rAREH)           ,KfW                                                                        ,CompanyClimate ,120M
Solar Power Company Group (SPCG)                          ,Solar Power Company Group (SPCG)                                           ,CompanyClimate ,800M
Azuri Technologies                                        ,Azuri Technologies Ltd.                                                    ,CompanyClimate ,6M
d.light                                                   ,d.light                                                                    ,CompanyClimate ,152M
Fenix International                                       ,Fenix International                                                        ,CompanyClimate ,13M
Kabeli Energy Limited                                     ,Kabeli Energy Limited                                                      ,ProjectClimate ,109M
